Title,Alternative Title,Creator,Contributor,Creation Date,Date,Search by Decade,Description,Subject (tgm),Subject Topical,Subject Name,Subject Geographic,Title Note,DCMI Type,Caption,Contributor Note,Notes,Original Form,Resource Type,Geographic Location,Language Code,Language,Physical Description of Original,Medium of Original,Collection in Repository,Digital Collection,N.C. Ed. Standard,URL,Local Identifier,Creator Identifier,filename,Copyright,Usage Rights,Raw Scan Filename,Date created,Date modified
"Topographical sketch of the battlefield of Chickamauga, Walker County, Geo.",,"Gilmer, Jeremy Francis, 1818-1883.","Sheppard, William Ludwell, 1833-1912.",1865-01,1865,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A topographical map of the battlefield of Chickamauga, in Walker County, Ga., drawn by W. L. Sheppard (hand-drawn and colored).  The battle took place on September 18th, 19th and 20th; this map was created from sketches in January of 1865.",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.; Sheppard, William Ludwell, 1833-1912.;","Confederate States of America--Maps.; Georgia--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,Map was drawn by William Ludwell (W. L.) Sheppard.,,Maps,Still Image,"United States, Georgia",eng,English,"23-7/8"" H x 30-1/8"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/257,Gilmer Map Number 402,276_257_E.tif,Public Domain,,276_257.tif,2005-12-09,2015-09-14
"Topographical sketch of the battlefield of Chickamauga, Walker County, Geo.",,"Gilmer, Jeremy Francis, 1818-1883.","Sheppard, William Ludwell, 1833-1912.",1865-01,1865,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A topographical map of the battlefield of Chickamauga, in Walker County, Ga., drawn by W. L. Sheppard (hand-drawn and colored).  The battle took place on September 18th, 19th and 20th; this map was created from sketches in January of 1865.",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.; Sheppard, William Ludwell, 1833-1912.;","Confederate States of America--Maps.; Georgia--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,Map was drawn by William Ludwell (W. L.) Sheppard.,,Maps,Still Image,"United States, Georgia",eng,English,"19-1/8"" H x 27-7/8"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/256,Gilmer Map Number 401,276_256_E.tif,Public Domain,,276_256.tif,2005-12-09,2015-09-14
Design for a pontoon train,,"Gilmer, Jeremy Francis, 1818-1883.","Nocquet, Jas.",1863-12-22,1863,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A design for a pontoon train, designed and drawn by Jas Nocquet, Major and Chief Engineer (hand-drawn and colored).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.; Nocquet, Jas.;","Confederate States of America--Maps.; Tennessee--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,Designed and drawn by Jas Nocquet.,Red stain down right side.,Maps,Still Image,"United States, Tennessee",eng,English,"17-1/2"" H x 23"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/259,Gilmer Map Number 404,276_259_E.tif,Public Domain,,276_259.tif,2005-12-09,2015-09-14
Pontoon carriage,,"Gilmer, Jeremy Francis, 1818-1883.","Herbst, Frs. (Francis)",1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A drawing of a pontoon carriage, with details (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.; Herbst, Frs. (Francis)","Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,Drawing was made by Francis Herbst.,,Maps,Still Image,,eng,English,"13"" H x 22-1/2"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/260,Gilmer Map Number 405,276_260_E.tif,Public Domain,,276_260.tif,2005-12-09,2015-09-14
Pontoons,,"Gilmer, Jeremy Francis, 1818-1883.","Herbst, Frs. (Francis)",1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"Drawings of pontoons, including details, by Francis Herbst (hand-drawn and colored).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.; Herbst, Frs. (Francis)","Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,Drawing was made by Francis Herbst.,,Maps,Still Image,,eng,English,"22-5/8"" H x 36-3/4"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/262,Gilmer Map Number 407,276_262_E.tif,Public Domain,,276_262.tif,2005-12-09,2015-09-14
Drawing of federal pontoon boat,,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"Drawings of a federal pontoon boat, including details (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,,,Maps,Still Image,,eng,English,"16-1/4"" H x 22-1/8"" W",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/261,Gilmer Map Number 406,276_261_E.tif,Public Domain,,276_261.tif,2005-12-09,2015-09-14
Map of Port Hudson and its defences,,"Gilmer, Jeremy Francis, 1818-1883.",,1862-10-30,1862,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of Port Hudson and its defences, including a descriptive list of batteries (hand-drawn and colored).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; Louisiana--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,,"Paper is torn along edges, and some information is missing.",Maps,Still Image,"United States, Louisiana",eng,English,"25-7/8"" H x 36-3/4"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/263,Gilmer Map Number 409,276_263_E.tif,Public Domain,,276_263.tif,2005-12-09,2015-09-14
Plan of Port Hudson and its defences,,"Gilmer, Jeremy Francis, 1818-1883.","Woodside, J. L.",1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A plan of Port Hudson and its defences, surveyed and drawn under the direction of Captain L. J. Fremaux, Chief Engineer, by J. L. Woodside (hand-drawn and colored).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.; Woodside, J. L.","Confederate States of America--Maps.; Louisiana--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,Map was surveyed and drawn by L. J. Woodside.,Paper is torn along edges.,Maps,Still Image,"United States, Louisiana",eng,English,"26-1/4"" H x 33-1/4"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/264,Gilmer Map Number 409,276_264_E.tif,Public Domain,,276_264.tif,2005-12-09,2015-09-14
"Survey and reconnaissance of a part of Henrico County, Virginia, from Richmond to Charles City County",,"Gilmer, Jeremy Francis, 1818-1883.","Blackford, B. L. (Benjamin Lewis); Cassell, Charles E.; Grant, John, Captain.; Henderson, D. E.; Patton, J. Houston.",1862,"June and July 1862, revised in 1864",1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of a survey and reconnaissance of a part of Henrico, Virginia, from Richmond to Charles City County, made under the direction of A. H. Campbell, Captain P. E. (hand-drawn and colored).  The survey and reconnaissance was carried out by John Grant, Captain P. E., C. E. Cassell, B. L. Blackford, and D. E. Henderson, Lieutenant P. E., and the map was drawn by J. Houston Patton.",Maps,"United States--History--Civil War, 1861-1865.;","Blackford, B. L. (Benjamin Lewis); Cassell, Charles E.; Grant, John, Captain.; Gilmer, Jeremy Francis, 1818-1883.; Henderson, D. E.; Patton, J. Houston.;","Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.; Virginia--History--Maps.;",Title on map.,Image,,"Survey and reconnaissance for map was done by John Grant, C. E. Cassell, B. L. Blackford, and D. E. Henderson, and the map was drawn by J. Houston Patton.",,Maps,Still Image,"United States, Virginia",eng,English,"27-1/4"" H x 29-3/4"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/311,Gilmer Map Number 545,276_311_E.tif,Public Domain,,276_311.tif,2005-12-14,2015-09-14
Map of Danville defences,,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,1863,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,A map of Danville's defences (hand-drawn) [probably drawn by Charles Chaky DeNordendorff in 1863].,Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.; Virginia--History--Maps.;",Title on map.,Image,,,Paper is torn and information is missing.,Maps,Still Image,"United States, Virginia",eng,English,"27-3/4"" H x 28-1/4"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/277,Gilmer Map Number 512,276_277_E.tif,Public Domain,,276_277.tif,2005-12-14,2015-09-14
Map of the country travelled by Major D. Wintter's pontoon train in an expedition to the Mississippi River for the purpose of crossing the command of Lieutenant General R. Taylor,,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,A map of the country travelled by Major D. Wintter's pontoon train during an expedition to the Mississippi River for the purpose of crossing the command of Lieutenant General R. Taylor (hand-drawn and colored).,Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.","Confederate States of America--Maps.; Mississippi--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,,Paper is discolored.,Maps,Still Image,"United States, Mississippi",eng,English,"16-1/8"" H x 27-3/8"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/258,Gilmer Map Number 403,276_258_E.tif,Public Domain,,276_258.tif,2005-12-14,2015-09-14
"Map of the battlegrounds of Shiloh, 6th and 7th of April 1862, Corinth, 3rd and 4th of October 1862, and Davis' Bridge, 5th of October 1862",,"Gilmer, Jeremy Francis, 1818-1883.","Rumbough, George P. C. (George Philip Cowles), 1834-1916.",1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of the battlegrounds of Shiloh, Corinth, and Davis's Bridge, by Geo. P. C. Rumbough (hand-drawn and colored).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.; Rumbough, George P. C. (George Philip Cowles), 1834-1916.","Confederate States of America--Maps.; Tennessee--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,"In memory of J. F. Gilmer, Chief Engineer, C. S. A. by Mrs. J. F. Minis of Savannah, his only daughter.",Map was drawn by George P. C. Rumbough.,Paper is torn down middle.,Maps,Still Image,"United States, Mississippi; United States, Tennessee",eng,English,25glish& H x 35-12ssee&q W; scale on map.,Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/265,Gilmer Map Number 410,276_265_E.tif,Public Domain,,276_265.tif,2005-12-14,2015-09-14
"Map of James River and the adjoining country, from Chuckatuck Creek to City-Point",,"Gilmer, Jeremy Francis, 1818-1883.","Blackford, B. L. (Benjamin Lewis);",1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of the James River and the adjoining country, from Chuckatuck Creek to City Point, drawn by Lieutenant B. L. Blackford (hand-drawn and colored).",Maps,"United States--History--Civil War, 1861-1865.;","Blackford, B. L. (Benjamin Lewis); Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.; Virginia--History--Maps.;",Title on map.,Image,,Map was drawn by B. L. Blackford.,"Paper is discolored and torn, and information is missing.",Maps,Still Image,"United States, Virginia",eng,English,"22-3/4"" H x 32-1/4"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/279,Gilmer Map Number 514,276_279_E.tif,Public Domain,,276_279.tif,2005-12-14,2015-09-14
Map of the vicinity of Richmond and part of the peninsula,,"Gilmer, Jeremy Francis, 1818-1883.",,1864,1864,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of the vicinity of Richmond and part of the peninsula, from surveys made under the direction of A. H. Campbell, Captain P. E., C. S. A. (printed and hand-colored).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.; Virginia--History--Maps.;",Title on map.,Image,,,,Maps,Still Image,"United States, Virginia",eng,English,"31"" H x 40-1/2"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/312,Gilmer Map Number 546,276_312_E.tif,Public Domain,,276_312.tif,2005-12-14,2015-09-14
Map of a portion of east Tennessee,,"Gilmer, Jeremy Francis, 1818-1883.",,1863,1863,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,A map of a portion of east Tennessee (hand-drawn and colored).,Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; Tennessee--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map,Image,,,Corners are faded and some information is missing.,Maps,Still Image,"United States, Tennessee",eng,English,"30-7/8"" H x 49-1/4"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/266,Gilmer Map Number 411,276_266_E.tif,Public Domain,,276_266.tif,2005-12-14,2015-09-14
"Map of the state of Virginia reduced from the nine sheet map of the state, in conformity to law by Herman Boye",,"Gilmer, Jeremy Francis, 1818-1883.","Buchholtz, L. v. (Lewis von)",1859,1859,1850; 1851; 1852; 1853; 1854; 1855; 1856; 1857; 1858; 1859,"A map of the state of Virginia, reduced from the nine sheet map of the state in conformity to the law by Herman Boye in 1828 and corrected by order of the executive in 1859, by L. v. Buchholtz (printed).",Maps,"United States--History--Civil War, 1861-1865.;","Buchholtz, L. v. (Lewis von); Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.; Virginia--History--Maps.;",Title on map.,Image,,Map was drawn by L. v. Buchholtz.,,Maps,Still Image,"United States, Virginia",eng,English,"31-1/2"" H x 49"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/267A,Gilmer Map Number 501,276_267_E.tif,Public Domain,,276_267.tif,2005-12-14,2015-09-14
Map of the vicinity of Petersburg,,"Gilmer, Jeremy Francis, 1818-1883.",,1864,1864,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of the vicinity of Petersburg, made under the direction of A. H. Campbell, Captain P. E. (hand-drawn and colored).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.; Virginia--History--Maps.;",Title on map.,Image,,,Paper is worn and has been attached to cloth backing.,Maps,Still Image,"United States, Virginia",eng,English,"24-1/4"" H x 36-1/4"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/268,Gilmer Map Number 503,276_268_E.tif,Public Domain,,276_268.tif,2005-12-14,2015-09-14
Map of a portion of eastern Virginia (from a map in progress),,"Gilmer, Jeremy Francis, 1818-1883.","Patton, J. Houston.;",1864,1864,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of a portion of eastern Virginia from a map in progress made under the direction of Captain A. H. Campbell, P. E. by J. Houston Patton, Assistant Engineer (hand-drawn and colored).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.; Patton, J. Houston.","Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.; Virginia--History--Maps.;",Title on map.,Image,,Map was drawn by J. Houston Patton.,,Maps,Still Image,"United States, Virginia",eng,English,"35-1/2"" H x 39-3/4"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/267B,Gilmer Map Number 502,276_267B_E.tif,Public Domain,,276_267B.tif,2005-12-14,2015-09-14
Plan of defenses at Drewry's Bluff on James River,,"Gilmer, Jeremy Francis, 1818-1883.",,1863-01,1863,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,A map of a plan of defenses at Drewry's Bluff on the James River (hand-drawn and colored).,Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.; Virginia--History--Maps.;",Title on map.,Image,,,Paper is faded and discolored.,Maps,Still Image,"United States, Virginia",eng,English,"25"" H x 37-5/8"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/287,Gilmer Map Number 521,276_287_E.tif,Public Domain,,276_287.tif,2006-01-03,2015-09-14
"Frame for a pile driver for driving piles obliquely, at the Tree Hill Bridge, James River",,"Gilmer, Jeremy Francis, 1818-1883.","Sheppard, William Ludwell, 1833-1912.;",1863,1863,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A drawing of a frame for a pile driver, to be used for driving piles obliquely at the Tree Hill Bridge at the James River, drawn by W. L. Sheppard (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.; Sheppard, William Ludwell, 1833-1912.","Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.; Virginia--History--Maps.;",Title on map.,Image,,Map was drawn by W. L. Sheppard.,,Maps,Still Image,"United States, Virginia",eng,English,"13-3/4"" H x 15-1/8"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/278,Gilmer Map Number 513,276_278_E.tif,Public Domain,,276_278.tif,2006-01-03,2015-09-14
Map of part of Charles City,,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,A map of part of Charles City (hand-drawn and colored).,Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.; Virginia--History--Maps.;",Title supplied by repository.,Image,,,,Maps,Still Image,"United States, Virginia",eng,English,"19-3/4"" H x 24-1/2"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/281,Gilmer Map Number 515B,276_281_E.tif,Public Domain,,276_281.tif,2006-01-03,2015-09-14
Plan of square redoubt,,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of a square redoubt, designed by Lieutenant John Postell (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.; Virginia--History--Maps.;",Title on map.,Image,,,,Maps,Still Image,"United States, Virginia",eng,English,"20-1/8"" H x 20-1/4"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/283,Gilmer Map Number 517,276_283_E.tif,Public Domain,,276_283.tif,2006-01-03,2015-09-14
"Plan of batteries at Fort Clifton, Appomattox River",,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of batteries at Fort Clifton, Appomattox River (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.; Virginia--History--Maps.;",Title on map.,Image,,,Fabric is discolored.,Maps,Still Image,"United States, Virginia",eng,English,"18-5/8"" H x 22-1/2"" W; scale on map.",Cloth,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/284,Gilmer Map Number 518,276_284_E.tif,Public Domain,,276_284.tif,2006-01-03,2015-09-14
"Map of area around Richmond northeast to James City County and northwest to Hanover County, including Charles City County",,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of the area around Richmond northeast to James City County and northwest to Hanover County, including Charles City County (hand-drawn and colored).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.; Virginia--History--Maps.;",Title supplied by repository.,Image,,,Right side of map appears to be missing.,Maps,Still Image,"United States, Virginia",eng,English,"21-7/8"" H x 28-7/8"" W",Cloth,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/288,Gilmer Map Number 522,276_288_E.tif,Public Domain,,276_288.tif,2006-01-03,2015-09-14
Map of the vicinity of Drewry's Bluff,,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,A map of the vicinity of Drewry's Bluff (hand-drawn and colored).,Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.; Virginia--History--Maps.;",Title on map.,Image,,,Paper is torn along edges.,Maps,Still Image,"United States, Virginia",eng,English,"16-1/4"" H x 19-1/2"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/282,Gilmer Map Number 516,276_282_E.tif,Public Domain,,276_282.tif,2006-01-03,2015-09-14
Fort Monroe,,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,A map of Fort Monroe (hand-drawn and colored).,Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.; Virginia--History--Maps.;",Title on map.,Image,,,,Maps,Still Image,"United States, Virginia",eng,English,"23-1/4"" H x 27-1/4"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/285,Gilmer Map Number 519,276_285_E.tif,Public Domain,,276_285.tif,2006-01-03,2015-09-14
Fort Boykin,,"Gilmer, Jeremy Francis, 1818-1883.",,1861,1861,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,A map of Fort Boykin (hand-drawn).,Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.; Virginia--History--Maps.;",Title on map.,Image,,,,Maps,Still Image,"United States, Virginia",eng,English,"23-7/8"" H x 27-3/8"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/286,Gilmer Map Number 520,276_286_E.tif,Public Domain,,276_286.tif,2006-01-03,2015-09-14
Sketch of part of Charles City,,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,A sketch of part of Charles City (hand-drawn and colored).,Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.; Virginia--History--Maps.;",Title supplied by repository.,Image,,,,Maps,Still Image,"United States, Virginia",eng,English,"21-1/2"" H x 25-1/2"" W",Cloth,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/280,Gilmer Map Number 515A,276_280_E.tif,Public Domain,,276_280.tif,2006-01-03,2015-09-14
"Map of Hanover, Henrico, and and part of Chesterfield Counties, Virginia",,"Gilmer, Jeremy Francis, 1818-1883.","Linton, S. B. (S. Benton)",1862,1862,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of Hanover, Henrico, and part of Chesterfield Counties, Virginia, made under the direction of A. H. Campbell by S. B. Linton (printed).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.; Linton, S. B. (S. Benton)","Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.; Virginia--History--Maps.;",Title on map.,Image,,Map was drawn by S. B. Linton.,Paper is torn along center fold.,Maps,Still Image,"United States, Virginia",eng,English,"35-1/2"" H x 47"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/310,Gilmer Map Number 544,276_310_E.tif,Public Domain,,276_310.tif,2006-01-03,2015-09-14
"Fort Sumter, December 9th 1863",,"Gilmer, Jeremy Francis, 1818-1883.","Beauregard, G. T. (Gustave Toutant), 1818-1893.",1863-12-09,1863,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A drawing of Fort Sumter of a view looking from the south west angle, from 9 December 1863, given to Jeremy Francis Gilmer by General G. T. Beauregard (printed paper copy).",Maps,"United States--History--Civil War, 1861-1865.;","Beauregard, G. T. (Gustave Toutant), 1818-1893.; Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; South Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,View from South West Angle.,Drawing was given to Gilmer by General Beauregard.,,Maps,Still Image,"United States, South Carolina",eng,English,"9"" H x 12-3/4"" W",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/332,,276_332_E.tif,Public Domain,,276_332.tif,2006-04-05,2015-09-14
"Sketches of ""fancy towers""",,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"Sketches of ""fancy towers"" (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title supplied by repository.,Image,,,,Maps,Still Image,,eng,English,"29"" H x 37-3/4"" W",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/328,,276_328_E.tif,Public Domain,,276_328.tif,2006-04-05,2015-09-14
Battlefields of Hanover County Va.,,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"Sheet number two of a map of the battlefields of Hanover County, Virginia (hand-drawn and colored).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.; Virginia--History--Maps.;",Title on map.,Image,,,,Maps,Still Image,"United States, Virginia",eng,English,"18-1/8"" H x 30-1/8"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/300,Gilmer Map Number 534,276_300_E.tif,Public Domain,,276_300.tif,2006-04-05,2015-09-14
