Title	Description	Transcription	Contributor Note	Notes	Subject (tgm)	Subject Name	Subject Geographic	Subject Topical	Creator	Finding Aid	Collection in Repository	Collection Number	Location in Collection	Object	Container type	filename	Alternative Title	Contributor	Creation Date	Date	Subject Topical Other	Coordinates	geonamesid	Digital Collection	Usage Rights	Copyright Holder	Additional Display	Caption	Title Note	Sponsor	Related Resource	Author Chief Source	Publisher	Place of Publication	Cataloging Agency	Is Part Of	Has Part Of	Form	Resource Type	Medium	Condition	Language	Physical Description of Analog Original	Creator Nationality/Culture	Style/Period	Volume/Issue	Scale	Projection	Map Type	Map Details	Current Location	Local Identifier	Creator Identifier	Search by Decade	Pagination	Sort Me	StreamingFile	Date created	Date modified
Tent City Fashion	A few protestors are observed to be wearing dark green trench coats to keep themselves warm and dry during the cold winter nights at Maidan. They are standing amongst tents at a region that during the Revolution became known as Tent City. A couple of pro-Yushchenko posters and a Ukrainian flag can be seen behind them.	Poster on the right reads: Львівський національний медичний інститут України - Ющенко ТАК; Poster on the left reads: Моршин за Ющенко			Posters; Tents; Flags; Signs (Notices); Coats; Clothing & dress;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0007: Central Independence Square events: Fashion, November-December 2004: Digital image 104	digfolder	60001_df0007_104.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00020 (4).tif					2014-07-31	2015-02-05
Distributing Information	Crowd gathering around a hearse plastered with fliers and other information. Many are wearing orange ribbons in order to demonstrate their support for the presidential candidate Viktor Yushchenko.  The Ukrainian flag is visible overhead.				Ribbons; Flags; Crowds; Coats; Vehicles; Street clocks; Facades; Signs (Notices); Hats;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine);		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0006: Central Independence Square events: Communication, November-December 2004: Digital image 11	digfolder	60001_df0006_011.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00017 (3).tif					2014-07-31	2014-11-18
Cheerful protestor	Standing in front of hotel, a young happy protestor is holding up an unseen flag and wearing an orange headband with a "PORA"sticker on top. "PORA" was a youth organization that was prominent during the Orange Revolution. Around his neck is a horn that became very popular throughout the Revolution and produced terrible, disturbing sound.	The headband reads: Молодежь ведет к победе.	The musical instrument of the revolution. Sound changes as you extend it. Terrible, disturbing noise.		Headbands (Headgear); Youth; Night photographs; Horns (Communication devices);		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0008: Central Independence Square events: Celebrations, November-December 2004: Digital image 01	digfolder	60001_df0008_01.tif			2004	27 November 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC05996.JPG					2014-07-31	2014-11-24
Women in the Orange Revolution	Women standing near the sign made by supporters of Yushchenko's party from Zhytomyr, a rigion in Ukraine.	Sign reads: "Житомирська обл."			Activists; Revolutionaries; Women; Hats; Signs (Notices); Smiling; Ribbons; Crowds;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0009: Central Independence Square events: Women, November-December 2004: Digital image 12	digfolder	60001_df0009_12.tif			2004	30 November 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06251.JPG					2014-07-31	2015-03-27
Women in the Orange Revolution	Woman ,a supporter of Yushchenko's party, giving an interview.				Activists; Revolutionaries; Ribbons; Women; Microphones; Coats; Cameras; Interviews; Dictating machines;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0009: Central Independence Square events: Women, November-December 2004: Digital image 29	digfolder	60001_df0009_29.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00011.tif					2014-07-31	2015-03-27
Ptotesters talking	Protesters near the shopping center seriously talking about the problems of their country - Ukraine.				Activists; Revolutionaries; Crowds; Ribbons; Men; Women; Hats; Headscarves; Coats; Scarves;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0003: Central Independence Square events: Conversation and Debate, November-December 2004: Digital image 14	digfolder	60001_df0003_014.tif			2004	27 November 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC05927.JPG					2014-07-31	2014-12-03
Ian Anderson on Maidan screen	Ian Anderson of the British rock band Jethro Tull appears on nighttime Maidan stage via jumbotron. Ukrainian flags and orange flags in support of Yushchenko wave in the air above the crowd.				Activists; Flags; Protests; Political parades & rallies; Crowds; Ribbons; Televisions; Communication; Communication devices; Musicians;	Anderson, Ian, 1947-	Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0002: Central Independence Square events: Speakers, November-December 2004: Digital image 09	digfolder	60001_df0002_009.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00013 (2).tif					2014-07-31	2016-01-21
A manly crowd	A group of men gathered around for a smoke break. One of them is wearing a bright orange vest and showing a peace sign. A couple men behind him are showing peace signs as well, a very popular symbol of the revolution.				Crowds; Peace signs; Ribbons; Flags; Cigarettes;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0007: Central Independence Square events: Fashion, November-December 2004: Digital image 095	digfolder	60001_df0007_095.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00009.tif					2014-07-31	2015-02-05
Luhansk sticker	A sticker with the famous IUshchenko horseshoe logo reads that Luhansk (a city in Eastern Ukraine) is pro-IUshchenko.	Sticker reads: Луганск за Ющенко			Stickers;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 117	digfolder	60001_df0001_117.tif			2004	5 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06478.JPG					2014-07-31	2015-11-20
Women in the Orange Revolution	Woman standing in a crowd with other protesters wearing an orange ribbon in support of Yushchenko's party. The inscription on the coat reads: "Tak!"				Activists; Revolutionaries; Women; Hats; Coats; Ribbons;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0009: Central Independence Square events: Women, November-December 2004: Digital image 07	digfolder	60001_df0009_07.tif			2004	29 November 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06116.JPG					2014-07-31	2014-12-03
October Palace covered in Revolutionary Propaganda	Two posters in support of Viktro IUshchenko are hung on the railing outside of the October Palace. Other posters are seen in the background.	Blue banner reads: Зірка України    Yellow banner reads: за Ющенка    White banner reads: Донецк, ми вас любим			Columns; Banners; Ribbons;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 119	digfolder	60001_df0001_119.tif			2004	5 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06482.jpg					2014-07-31	2015-11-20
Women in the Orange Revolution	Young woman, a supporter of Yushchenko's party, standing in a crowd with other protesters talking on the phone. The sign on the woman's hat reads: "Yushchenko Tak!"				Activists; Revolutionaries; Women; Young adults; Hats; Neckwear; Coats; Crowds;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0009: Central Independence Square events: Women, November-December 2004: Digital image 31	digfolder	60001_df0009_31.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00009.tif					2014-07-31	2014-12-03
Zbigniew Bujak and his colleagues.	Zbigniew Bujak and his colleagues are posing for a picture. Behind them a night view of Maidan can be observed.				Subway stations; Night photographs; Coats; Crowds; Monuments; Ribbons; Scarves; Facades; Headbands (Headgear);		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 108	digfolder	60001_df0001_108.tif			2004	4 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06450.JPG					2014-07-31	2015-11-20
March towards Supreme Council	A crowd is marching towards the Supreme Council. An elderly woman is showing off her patriotism in the center of the photograph. She is wearing a yellow rain poncho with a Ukrainian flag as a cape. As well as, an orange construction hat and orange ribbons tied to her wrists. In her left hand she is holding up a horn, these were very popular sound devices during the revolution.				Crowds; Older people; Raincoats; Capes (Clothing); Hats; Flower arrangements; Ribbons; Headbands (Headgear); Marching; Horns (Communication devices);		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 135	digfolder	60001_df0001_135.tif			2004	7 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06517.JPG					2014-07-31	2015-11-20
Maĭdan Nezalez︠h︡nosti lit up by the flames of support	A crowd of Yushchenko protestors standing on Maidan, holding candles in support of Viktor Yushchenko. Many are wearing warm jackets and fur coats of all different colors  to protect themselves from the cold Ukrainian winter night.				Fur coats; Crowds; Flags; Ribbons; Balloons (Novelties); Night photographs; Candles; Scarves; Headgear;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0007: Central Independence Square events: Fashion, November-December 2004: Digital image 035	digfolder	60001_df0007_035.tif			2004	2 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06316.JPG					2014-07-31	2015-02-05
IUshchenko's slogan "TAK"	The word "TAK" is spelled out with plastic cloth on the grass in front of the October Palace.				Slogans; Architecture; Lampposts;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 188	digfolder	60001_df0001_188.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00027 (3).tif					2014-07-31	2015-11-20
Protesters walking near the tent city in front of subway station	Protesters are walking around the tent city in front of a subway station on Khreschatyk street. Some of the protesters wear orange ribbons on their arms and necks. Others wear an orange rain coat in support of Yushchenko's party. The signs on the white blocks in front read: "Lviv Topolna Sykhiv", "L'viv residents thank Kiev residents". Another sign on the orange back of the truck reads: "Yushchenko supports people! People support Yushchenko!".	The signs read:  "Львiв Tопольна Сихiв", "Львiв дякуе Киянам", "Ющенко - за народ! Народ - за Ющенка!"			Activists; Protest movements; Barricades; Men; Ribbons; Signs (Notices); Subway stations; Fast food restaurants; Tents; Coats; Buildings; Flags;	McDonald's Corporation—Buildings—Ukraine--Kiev;	Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0005: Central Independence Square events: Living Conditions, November-December 2004: Digital image 29	digfolder	60001_df0005_029.tif			2004	30 November 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06210.JPG					2014-07-31	2015-03-27
Crowds on top of Independence Square monuments	The crowds have taken over the monument of the Three Brothers and Sister who Founded Kiev. Most of them have orange ribbons to demonstrate their support for Yushchenko, others are holding up signs and posters.	Yellow sign reads: Коломия ТАК "перлина" Ющенко!    White sign reads: Роман Сірааун за Ющенка!			Crowds; Posters; Ribbons; Hats; Monuments & memorials; Night photographs;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 106	digfolder	60001_df0001_106.tif			2004	4 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06440.JPG					2014-07-31	2015-11-20
Protesters talking	Protesters, supporters of 'orange' and 'blue' factions quietly discussing the problems of their country - Ukraine. Protesters wear blue and orange ribbons, the symbols of their factions.				Activists; Ribbons; Revolutionaries; Crowds; Men; Women; Military uniforms; Hats; Coats;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0003: Central Independence Square events: Conversation and Debate, November-December 2004: Digital image 05	digfolder	60001_df0003_005.tif			2004	27 November 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC05914.JPG					2014-07-31	2014-12-03
Lutsenko on jumbotron	Third leader of revolution: Lutsenko. He encouraged nonviolent discipline among the revolutionaries because he believed that it was necessary for any successful uprising after the bloodshed in 2001.				Activists; Flags; Protests; Political parades & rallies; Crowds; Ribbons; Presidents; Televisions; Communication; Communication devices; Dissenters; Stages (Platforms);		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0002: Central Independence Square events: Speakers, November-December 2004: Digital image 16	digfolder	60001_df0002_016.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00032 (6).tif					2014-07-31	2016-01-21
Women in the Orange Revolution	Protesters from Zhytomyr region standing in front of a book store holding their signs in support of Yushchenko's party.				Activists; Revolutionaries; Women; Men; Crowds; Signs (Notices); Smiling; Hats; Coats; Flags;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0009: Central Independence Square events: Women, November-December 2004: Digital image 13	digfolder	60001_df0009_13.tif			2004	30 November 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06253.JPG					2014-07-31	2014-12-03
Maidan's young protestor	A little girl, wearing a Yushchenko flag around her neck as a cape, is distracted by something and is looking off into the distance while her father is holding her up in his arms so that she can see and observe whatever is going on at Maidan at the time.				Children; Capes (Clothing); Night photographs;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0007: Central Independence Square events: Fashion, November-December 2004: Digital image 083	digfolder	60001_df0007_083.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00017 (2).tif					2014-07-31	2015-02-05
The Maidan Vogue	A woman is showing off her support for Viktor Yushchenko by wearing a bright, almost illuminating orange coat and purse.				Coats; Purses; Women; Night photographs; Clothing & dress;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0007: Central Independence Square events: Fashion, November-December 2004: Digital image 033	digfolder	60001_df0007_033.tif			2004	2 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06314.jpg					2014-07-31	2015-02-05
Anti-Russian propaganda	The banner ridicules Russia's overwhelming influence in Ukraine by comparing Moscow to a lame flightless bird like a chicken.	Sign reads:  Курица - не птица, Москва нам - не столица!			Banners; Stickers; Propaganda;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 200	digfolder	60001_df0001_200.tif			2004	11 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00025.bmp					2014-07-31	2015-11-20
Streetview	Civilians are walking through the streets of Kiev that have been transformed by the Revolution.	White banner in the back reads: Гусятин Так!			Vehicles; Night photographs; Tents; Crowds; Flags; Banners;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 186	digfolder	60001_df0001_186.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00018 (2).tif					2014-07-31	2015-11-20
Men in camouflage jackets	Three men dressed in camouflage army attire are posing for a photograph. The one on the left is holding up a peace sign.				Coats; Headbands (Headgear); Snow; Coats; Peace signs; military		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 161	digfolder	60001_df0001_161.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00035.tif					2014-07-31	2015-11-20
Crowds	Yushchenko protestors are standing outside on the streets of Kiev with flags and orane signs. Many of them are wearing orange slickers and  ribbons.	Orange sign: Бучач c. Озеряни			Flags; Signs (Notices); Crowds; Hats; Coats; Ribbons;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 202	digfolder	60001_df0001_202.tif			2004	11 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00020.bmp					2014-07-31	2015-11-20
Maidan street vendor	A street vendor selling hats, scarves, and gloves to keep protestors warm while they are standing out on Maidan. Much of the merchandise had either the Yushchenko or Yanukovych slogans on it so that individuals could show off their support while also keeping themselves warm.				Street vendors; Scarves; Hats; Gloves; Night photographs; Women; Young adults;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 183	digfolder	60001_df0001_183.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00028 (2).tif					2014-07-31	2015-11-20
Banner on pedestrian bridge over Instytuts'ka Street	An orange banner criticizing the Ministry of Health and its head Andrii Pidaev is displayed on the pedestrian bridge over Instytuts'ka Street. The banner reads: "Health Ministry, start health care with yourself! Put Pidaev in resuscitation!" Several protesters with orange ribbons tied to their clothes are on the bridge.	The banner reads: "Мiнздрав, лiкування почни з себе! Пiдаева в реанiмацiю!"			Banners; Protest movements; Activists; Pedestrian bridges; Political parades & rallies;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 120	digfolder	60001_df0001_120.tif			2004	5 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06483.JPG					2014-07-31	2015-11-20
